Date,AMD,AVGO,GOOGL,META,MSFT,NVDA,TSLA
2016-01-04,2.7699999809265137,10.876648902893066,37.660728454589844,101.424072265625,47.87417221069336,0.7895449995994568,14.894000053405762
2016-01-05,2.75,10.512768745422363,37.764381408691406,101.93009948730469,48.092586517333984,0.8022286295890808,14.895333290100098
2016-01-06,2.509999990463257,10.189406394958496,37.65528106689453,102.16822814941406,47.21897506713867,0.7690564393997192,14.602666854858398
2016-01-07,2.2799999713897705,9.865278244018555,36.74629211425781,97.1575698852539,45.576568603515625,0.7385673522949219,14.376667022705078
2016-01-08,2.140000104904175,9.800298690795898,36.24592971801758,96.57215118408203,45.71635055541992,0.7227129340171814,14.066666603088379
2016-01-11,2.3399999141693115,9.788067817687988,36.35304260253906,96.75074768066406,45.69014358520508,0.7239325046539307,13.856666564941406
2016-01-12,2.390000104904175,9.931787490844727,36.96151351928711,98.59626770019531,46.10948181152344,0.736128032207489,13.998000144958496
2016-01-13,2.25,9.426480293273926,35.683570861816406,94.69686889648438,45.113563537597656,0.7136883735656738,13.354000091552734
2016-01-14,2.2100000381469727,9.570199012756348,36.26973342895508,97.60404968261719,46.397769927978516,0.699297308921814,13.745332717895508
2016-01-15,2.0299999713897705,9.171150207519531,35.23329544067383,94.23053741455078,44.54570770263672,0.6612468957901001,13.666000366210938
2016-01-19,1.9500000476837158,9.178797721862793,35.65927505493164,94.51828002929688,44.1700553894043,0.6666130423545837,13.64799976348877
2016-01-20,1.7999999523162842,9.46623420715332,35.63349151611328,93.6153564453125,44.37099075317383,0.6702718138694763,13.24666690826416
2016-01-21,2.0899999141693115,9.519742012023926,36.035667419433594,93.42684173583984,44.10017395019531,0.6780768632888794,13.33133316040039
2016-01-22,2.0199999809265137,9.518216133117676,36.96746826171875,97.17741394042969,45.68141555786133,0.693931519985199,13.50333309173584
2016-01-25,2.119999885559082,9.516685485839844,36.380313873291016,96.254638671875,45.24459457397461,0.693199634552002,13.092000007629395
2016-01-26,2.069999933242798,9.509042739868164,36.38874435424805,96.58206176757812,45.576568603515625,0.7000290155410767,12.904000282287598
2016-01-27,2.130000114440918,9.353093147277832,35.584896087646484,93.71458435058594,44.74664306640625,0.6917359232902527,12.538000106811523
2016-01-28,2.0799999237060547,9.660404205322266,37.10830307006836,108.26042175292969,45.48048782348633,0.6841747760772705,12.646666526794434
2016-01-29,2.200000047683716,10.221511840820312,37.75545120239258,111.33629608154297,48.12752914428711,0.7144200801849365,12.74666690826416
2016-02-01,2.140000104904175,10.525002479553223,38.222591400146484,114.19385528564453,47.795562744140625,0.7146640419960022,13.129332542419434
2016-02-02,1.9900000095367432,10.185582160949707,38.725433349609375,113.71760559082031,46.301673889160156,0.6844186782836914,12.185333251953125
2016-02-03,2.069999933242798,10.041865348815918,37.161861419677734,111.81255340576172,45.56782531738281,0.6878334879875183,11.565333366394043
2016-02-04,2.0899999141693115,10.405746459960938,36.20228576660156,109.62968444824219,45.42806625366211,0.688077449798584,11.688667297363281
2016-02-05,1.9800000190734863,9.812530517578125,34.89955520629883,103.2596664428711,43.820613861083984,0.6446608901023865,10.84000015258789
2016-02-08,1.9299999475479126,9.315634727478027,34.91939163208008,98.97331237792969,43.16539001464844,0.6151476502418518,9.866000175476074
2016-02-09,1.899999976158142,9.151275634765625,34.763675689697266,98.76493835449219,43.05183029174805,0.6217333674430847,9.883333206176758
2016-02-10,1.840000033378601,9.112289428710938,35.05278778076172,100.21356201171875,43.42747497558594,0.620269775390625,9.57800006866455
2016-02-11,1.8600000143051147,8.891362190246582,35.02848434448242,101.11650085449219,43.410003662109375,0.617098867893219,10.031332969665527
2016-02-12,1.8300000429153442,9.300346374511719,35.05477523803711,101.21571350097656,44.11764144897461,0.6275870203971863,10.06933307647705
2016-02-16,1.8300000429153442,9.650465965270996,35.587867736816406,100.81881713867188,44.95351791381836,0.6583200097084045,10.344667434692383
2016-02-17,1.899999976158142,9.989883422851562,36.298492431640625,104.38086700439453,46.1237907409668,0.6746622920036316,11.245332717895508
2016-02-18,1.909999966621399,9.713916778564453,35.5814208984375,102.66433715820312,45.921409606933594,0.7327135801315308,11.118000030517578
2016-02-19,1.909999966621399,9.836225509643555,35.809532165527344,103.75577545166016,45.595855712890625,0.7424700856208801,11.10533332824707
2016-02-22,2.009999990463257,9.986825942993164,36.153690338134766,106.32561492919922,46.32615280151367,0.7688125371932983,11.849332809448242
2016-02-23,1.9700000286102295,9.797243118286133,35.57050704956055,104.63885498046875,45.03272247314453,0.7707637548446655,11.814000129699707
2016-02-24,2.0199999809265137,9.963892936706543,35.7495231628418,106.04779815673828,45.19110107421875,0.7761298418045044,11.933333396911621
2016-02-25,2.0299999713897705,10.126720428466797,36.15716552734375,107.22852325439453,45.84222412109375,0.7778372168540955,12.495332717895508
2016-02-26,2.069999933242798,10.175646781921387,35.94590759277344,107.07969665527344,45.1383171081543,0.772715151309967,12.689332962036133
2016-02-29,2.140000104904175,10.241393089294434,35.56703567504883,106.08747863769531,44.76875686645508,0.7676966786384583,12.795332908630371
2016-03-01,2.180000066757202,10.582335472106934,36.8043098449707,108.96490478515625,46.26456832885742,0.8017240166664124,12.423333168029785
